Source,Destination,Protocol,Length,Info,Malicious
106,98,12,54,64750,0
106,14,12,54,62526,1
106,14,12,54,62495,1
148,95,12,1514,33380,1
106,80,12,54,3134,0
106,70,12,54,54029,0
70,95,12,1514,27688,0
142,95,12,1514,21791,1
106,99,12,54,59131,1
106,96,5,98,69303,0
48,95,14,1466,68541,0
196,95,12,1466,36645,1
65,95,12,60,11773,0
106,141,12,54,53408,0
106,47,14,224,68541,1
142,95,12,1514,19613,1
155,95,14,1514,68542,1
220,95,12,1462,40508,1
106,134,12,54,50014,1
48,95,14,139,68541,1
106,119,12,54,50604,1
126,95,12,1514,12895,1
106,28,12,54,459,1
162,95,14,116,68541,1
106,36,14,241,68541,1
148,95,14,1514,68541,0
106,142,12,54,2839,1
106,118,12,54,1153,0
106,98,12,54,64749,0
106,119,12,54,51558,1
106,134,12,54,47629,0
220,95,12,1462,41992,0
121,95,12,60,38837,1
65,95,12,1009,12676,0
155,95,12,1514,8427,1
15,95,12,60,35769,1
2,95,3,140,70343,0
220,95,12,1462,41482,0
157,95,12,1514,18122,0
46,95,14,133,68541,1
61,95,12,60,6290,0
106,70,12,54,55206,0
106,76,14,93,68541,1
140,95,12,66,35206,0
106,35,12,54,50434,1
106,134,12,54,48864,1
106,194,12,54,5693,0
220,95,12,1462,43191,1
159,95,14,987,68541,1
46,95,12,60,34665,0
142,95,12,1514,25312,1
157,95,12,1514,17621,0
106,99,12,54,57909,1
142,95,12,1514,25810,1
142,95,12,1514,20178,0
155,95,12,1514,9307,0
160,95,14,116,68541,1
76,95,14,1466,69589,0
65,95,14,1510,68541,0
45,95,12,60,9811,1
106,101,14,118,68563,0
43,95,14,397,68541,0
142,95,12,1514,18921,0
106,70,12,54,54621,1
106,68,12,54,62667,0
106,70,14,162,68541,1
48,95,14,1466,68541,1
106,65,12,54,4460,1
142,95,14,1514,68541,1
142,95,12,1514,22695,1
142,95,12,1514,26355,1
106,98,12,54,65715,0
4,95,12,1514,36681,0
106,98,12,54,65300,1
106,99,12,54,58002,1
106,70,12,54,55062,1
157,95,12,1514,16486,1
106,47,12,54,57339,1
124,95,12,1514,35259,1
157,95,12,1514,17920,1
106,65,12,74,4465,0
43,95,14,1466,68541,0
155,95,12,1514,8418,1
220,95,12,1462,43242,1
220,95,12,1462,40267,1
148,95,14,1514,69590,1
48,95,14,1466,68541,0
220,95,12,1462,39577,1
2,95,3,356,70500,0
53,95,14,1466,68541,1
106,132,12,54,2022,0
106,65,12,54,5023,0
106,125,12,54,59770,0
70,95,12,1514,26889,0
70,95,14,1227,68543,0
106,47,12,54,57195,1
148,95,14,1514,68542,0
106,130,12,54,5815,0
155,95,12,1514,7343,1
142,95,12,1514,24204,0
220,95,12,1462,40370,0
23,95,12,310,6597,1
106,45,12,54,60494,1
142,95,12,1514,21236,1
106,98,12,54,65272,0
122,95,12,1514,30122,0
142,95,12,1514,22471,1
220,95,12,1462,45908,1
62,95,14,1466,68541,1
106,125,12,54,59661,0
155,95,12,1514,8596,1
65,95,12,1510,12343,1
106,70,12,54,54329,0
157,95,12,1514,14836,0
220,95,12,1462,40468,0
43,95,12,60,13944,1
2,95,3,172,70314,1
111,94,7,92,69573,1
106,70,12,54,55169,0
213,95,12,1514,37058,1
106,198,12,54,67410,0
142,95,12,1514,24600,0
106,47,14,183,68541,1
106,14,14,145,68541,1
70,95,12,1514,27391,0
148,95,12,1514,33966,1
106,99,12,54,58132,1
106,47,12,54,57172,1
106,98,12,54,65003,1
220,95,12,1462,44456,0
106,62,12,54,63761,1
106,80,12,54,3021,1
106,132,14,329,68541,1
62,95,14,1178,68541,1
142,95,12,1514,19927,1
155,95,12,1514,8564,1
106,72,12,54,59265,1
142,95,14,1514,68541,0
220,95,12,1462,40454,1
65,95,14,1510,68541,1
80,95,14,1466,68541,1
122,95,12,1514,30422,1
148,95,12,1514,34102,1
106,119,12,54,51794,1
70,95,12,1514,27361,0
142,95,14,1514,68541,0
65,95,12,1510,12050,0
87,95,12,1514,35799,1
106,134,12,54,49753,0
68,95,14,1510,68541,1
80,95,12,1466,10610,0
154,95,14,341,68541,1
105,135,5,60,69071,0
220,95,12,1462,41325,1
142,95,12,1514,21515,1
65,95,12,1510,12227,1
62,95,14,98,68541,1
192,95,14,1466,68541,1
65,95,12,1131,12604,1
12,95,14,1514,68541,0
106,61,12,54,156,1
106,125,12,54,59601,0
122,95,12,1514,31512,1
220,95,12,1462,41063,0
106,105,14,93,68541,0
106,132,12,54,1885,0
148,95,12,1514,34220,1
106,47,12,54,56365,0
142,95,12,1514,20085,1
157,95,12,1514,17319,0
157,95,12,1514,16372,0
153,95,12,1514,13626,0
106,47,12,54,57116,1
48,95,14,1466,68541,0
105,135,5,60,69071,1
142,95,12,1514,22537,1
157,95,12,1514,17793,0
142,95,12,1514,19269,0
106,125,14,195,68541,0
122,95,12,1514,31905,1
44,95,14,1466,68541,1
139,95,12,60,29026,1
106,42,12,54,46963,0
157,95,12,1514,16993,0
142,95,12,1514,20881,0
106,40,12,54,62277,0
48,95,14,1466,68541,1
62,95,14,1466,68541,0
18,95,12,1514,9730,0
106,45,12,54,60663,1
106,197,14,982,68541,1
65,95,12,1510,11846,1
106,40,14,85,68541,1
106,99,12,54,57870,0
57,95,14,1466,68541,1
106,70,12,54,54633,1
142,95,12,1514,23194,0
48,95,14,1466,68541,1
157,95,12,1514,17058,1
122,95,12,1514,30824,0
81,95,12,60,34968,1
142,95,12,1514,19877,0
106,198,12,54,65876,0
142,95,12,1514,26288,1
106,161,14,187,68541,1
121,95,12,1514,38544,1
80,95,14,1466,68541,1
106,159,14,224,68541,1
106,65,14,567,68565,1
106,59,12,54,60938,0
70,95,12,1514,27039,0
106,87,12,54,62573,1
126,95,12,1514,12905,1
220,95,12,1462,39500,1
106,134,12,54,48942,0
220,95,14,1462,68541,1
142,95,12,1514,25673,0
48,95,14,1466,68541,0
155,95,12,1402,9395,1
220,95,12,1462,45675,0
220,95,12,1462,44074,1
106,47,12,54,57229,1
106,112,12,54,53303,1
48,95,14,1466,68541,0
106,70,12,54,54567,1
38,95,14,1466,68541,0
106,62,12,54,63563,0
36,95,12,1466,18778,0
65,95,14,625,68541,0
220,95,12,1462,45482,0
54,95,12,66,13862,0
157,95,12,1514,16625,1
205,95,13,1427,68561,0
37,95,12,60,6323,0
106,101,12,74,61990,1
106,62,12,2878,63838,0
220,95,12,1462,45937,0
220,95,12,1462,44923,1
106,80,12,54,3178,1
142,95,12,1514,20464,1
106,1,3,79,69772,0
106,81,12,54,61794,1
41,95,14,1466,68541,1
122,95,12,1514,31495,0
65,95,12,1510,12547,0
62,95,14,85,68541,0
121,95,12,1514,37247,0
121,95,12,1514,38669,1
106,69,12,54,62416,1
157,95,12,1514,16083,1
57,95,14,1466,68541,0
80,95,14,1466,68541,0
142,95,12,1514,19335,0
148,95,14,1514,68567,0
62,95,14,123,68541,1
122,95,12,1514,31325,1
48,95,14,1380,68541,0
106,70,12,54,55372,1
106,198,14,1790,68541,0
106,119,12,54,53036,0
220,95,12,1462,45506,1
26,95,14,419,68541,1
106,15,12,54,5473,1
106,1,3,85,69609,0
106,62,14,563,68541,1
106,134,12,54,48725,1
106,57,12,54,47109,0
106,47,12,54,56179,1
17,95,12,60,6408,0
37,95,14,128,68541,0
46,95,14,1466,68541,0
155,95,12,1514,8510,1
121,95,12,1514,37982,1
48,95,14,1466,68541,0
142,95,14,1514,68541,1
196,95,14,1466,68541,1
157,95,12,1514,16283,1
142,95,12,1514,21605,1
62,95,14,93,68541,1
106,98,12,54,64894,0
106,70,12,54,55328,0
93,95,12,1514,13123,1
157,95,12,1514,16742,0
216,95,12,1514,13312,1
106,126,14,241,68541,1
80,95,14,1466,68541,0
142,95,12,1514,23133,1
220,95,12,1462,45859,1
106,119,12,54,52783,1
106,198,12,54,67000,1
122,95,14,1514,68541,0
70,95,14,1514,68543,1
220,95,12,1462,44582,0
106,70,12,54,53961,0
142,95,14,1514,68541,0
106,11,12,54,63924,0
70,95,12,1514,27603,1
93,95,12,1514,13085,0
106,57,12,54,47272,0
142,95,12,1514,18808,1
106,87,12,54,62576,0
106,57,12,54,47139,0
220,95,12,1462,41100,0
53,95,14,1466,68541,1
142,95,12,1514,24740,0
106,37,12,54,68035,0
106,62,12,54,63614,0
106,194,12,54,5695,0
70,95,12,1514,28174,0
46,95,14,1466,68541,0
106,96,5,98,69143,1
220,95,12,1462,41723,0
124,95,12,1514,35370,0
148,95,14,1514,68567,1
106,198,12,54,67305,0
142,95,12,1514,24202,1
